,word,norm_place
0,!,"[0.043010752688172046, 0.07142857142857142, 0.08, 0.09375, 0.10526315789473684, 0.10714285714285714, 0.11428571428571428, 0.11764705882352941, 0.12, 0.125, 0.13043478260869565, 0.13333333333333333, 0.13333333333333333, 0.14285714285714285, 0.14285714285714285, 0.15, 0.15384615384615385, 0.15789473684210525, 0.16216216216216217, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.17391304347826086, 0.17647058823529413, 0.17647058823529413, 0.17647058823529413, 0.17647058823529413, 0.17647058823529413, 0.1875, 0.2, 0.2, 0.20689655172413793, 0.20833333333333334, 0.21052631578947367, 0.21428571428571427, 0.22727272727272727, 0.23809523809523808, 0.25, 0.25, 0.25, 0.2631578947368421, 0.26666666666666666, 0.26666666666666666, 0.2777777777777778, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2903225806451613, 0.29411764705882354, 0.3, 0.3, 0.3, 0.3076923076923077, 0.3125, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.35294117647058826, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.375, 0.375, 0.38461538461538464, 0.391304347826087, 0.4, 0.4, 0.4, 0.4117647058823529, 0.4117647058823529, 0.4166666666666667, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.43478260869565216, 0.4375, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.45454545454545453, 0.45454545454545453, 0.4583333333333333, 0.47058823529411764, 0.47058823529411764, 0.4782608695652174, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5294117647058824, 0.5333333333333333, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.55, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5625, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6153846153846154, 0.625, 0.625, 0.625, 0.6363636363636364, 0.6428571428571429, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6857142857142857, 0.6875, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7058823529411765, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7222222222222222, 0.7272727272727273, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.7647058823529411, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8125, 0.8125, 0.8235294117647058, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8421052631578947, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.863013698630137, 0.875, 0.875, 0.875, 0.875, 0.8787878787878788, 0.8823529411764706, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8947368421052632, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9166666666666666, 0.9285714285714286, 0.9285714285714286, 0.9333333333333333, 0.9333333333333333, 0.9375, 0.9375, 0.9375, 0.9411764705882353, 0.9473684210526315, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,#,"[0.006802721088435374, 0.04081632653061224, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.6666666666666666, 0.8, 0.8, 0.8, 0.9]"
2,$,"[0.4, 0.40625, 0.8461538461538461, 1.0]"
3,%,"[0.43478260869565216, 0.5, 0.6285714285714286, 0.8, 0.8333333333333334, 0.9333333333333333, 0.9444444444444444]"
4,&,"[0.3333333333333333, 0.6, 0.6363636363636364, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.9615384615384616]"
5,',"[0.375, 0.6802721088435374, 0.8, 1.0]"
6,'',"[0.06802721088435375, 0.21739130434782608, 0.3333333333333333, 0.35135135135135137, 0.3793103448275862, 0.42857142857142855, 0.4857142857142857, 0.5, 0.5, 0.5294117647058824, 0.5454545454545454, 0.625, 0.625, 0.6666666666666666, 0.6785714285714286, 0.8125, 0.8461538461538461, 0.9, 0.9333333333333333, 0.9375, 0.9375, 0.9565217391304348, 0.9615384615384616, 0.972972972972973, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,'1,[0.673469387755102]
8,'A,[1.0]
9,'bbbv,[1.0]
10,'d,"[0.1111111111111111, 0.16666666666666666, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.2, 0.21428571428571427, 0.21428571428571427, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.23076923076923078, 0.23529411764705882, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2727272727272727, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.3, 0.3, 0.3, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4166666666666667, 0.4444444444444444, 0.4444444444444444, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5384615384615384, 0.6153846153846154, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7419354838709677, 0.7692307692307693, 0.7916666666666666, 0.875, 0.8888888888888888, 0.9, 0.9090909090909091, 0.9166666666666666, 0.92, 0.9310344827586207]"
