,word,dist
0,I,1.0
1,the,0.7823411371237459
2,to,0.5649498327759197
3,a,0.4968561872909699
4,?,0.48307692307692307
5,and,0.4440133779264214
6,u,0.4402675585284281
7,haha,0.4311705685618729
8,it,0.4121739130434783
9,i,0.38849498327759197
10,in,0.3273578595317726
11,that,0.3195986622073579
12,at,0.31331103678929767
13,like,0.2968561872909699
14,is,0.2809364548494983
15,'s,0.2785284280936455
16,have,0.27585284280936456
17,",",0.25578595317725755
18,Yea,0.234247491638796
19,of,0.2311705685618729
20,do,0.22474916387959867
21,na,0.2214046822742475
22,but,0.22086956521739132
23,so,0.21752508361204012
24,'m,0.2163210702341137
25,for,0.21163879598662208
26,up,0.20989966555183948
27,my,0.20441471571906356
28,just,0.19933110367892976
29,be,0.19531772575250836
30,get,0.1945150501672241
31,was,0.19331103678929765
32,are,0.1888963210702341
33,me,0.1866220735785953
34,we,0.18608695652173912
35,now,0.17872909698996656
36,on,0.16775919732441472
37,can,0.16187290969899665
38,yea,0.1494314381270903
39,with,0.14220735785953179
40,n't,0.14127090301003345
41,right,0.13377926421404682
42,out,0.12695652173913044
43,you,0.12561872909698996
44,think,0.12441471571906354
45,not,0.12066889632107024
46,I’m,0.11946488294314381
47,Yo,0.11866220735785953
48,he,0.11812709030100335
49,if,0.11103678929765887
50,'ll,0.11090301003344481
51,gon,0.10876254180602006
52,your,0.1074247491638796
53,this,0.09979933110367893
54,too,0.09578595317725752
55,got,0.0948494983277592
56,what,0.0948494983277592
57,good,0.09404682274247492
58,or,0.0925752508361204
59,know,0.09150501672240803
60,really,0.0865551839464883
61,from,0.08481605351170568
62,wan,0.08294314381270904
63,lol,0.08040133779264214
64,there,0.07933110367892976
65,And,0.0782608695652174
66,did,0.07785953177257525
67,go,0.07772575250836121
68,smoke,0.07732441471571906
69,still,0.07732441471571906
70,over,0.07625418060200669
71,when,0.07478260869565218
72,its,0.07411371237458193
73,night,0.07317725752508361
74,back,0.07117056856187291
75,shit,0.06969899665551839
76,tonight,0.06889632107023412
77,fuck,0.06822742474916388
78,one,0.06795986622073578
79,house,0.06755852842809365
80,fucking,0.06675585284280937
81,an,0.06622073578595318
82,pretty,0.06581939799331103
83,What,0.062474916387959864
84,could,0.06234113712374582
85,then,0.061939799331103676
86,last,0.06153846153846154
87,would,0.061404682274247495
88,Haha,0.0611371237458194
89,Oh,0.06060200668896321
90,Yes,0.06033444816053512
91,hahaha,0.05658862876254181
92,going,0.056321070234113715
93,It,0.0548494983277592
94,will,0.0548494983277592
95,no,0.05418060200668896
96,We,0.053244147157190634
97,!,0.051906354515050164
98,come,0.05150501672240803
99,were,0.05110367892976589
100,tomorrow,0.05003344481605351
101,ill,0.04976588628762542
102,should,0.049498327759197325
103,getting,0.04936454849498328
104,2,0.04896321070234114
105,actually,0.0482943143812709
106,But,0.04709030100334448
107,word,0.04709030100334448
108,Okay,0.046822742474916385
109,about,0.046688963210702344
110,they,0.04642140468227425
111,doing,0.0462876254180602
112,5,0.04602006688963211
113,need,0.04521739130434783
114,sure,0.04468227424749164
115,all,0.04374581939799331
116,class,0.043478260869565216
117,prolly,0.04334448160535117
118,by,0.04321070234113712
119,want,0.043076923076923075
120,more,0.042675585284280934
121,hahah,0.04173913043478261
122,work,0.04147157190635452
123,after,0.04133779264214047
124,some,0.040668896321070236
125,him,0.04
126,lot,0.039866220735785954
127,down,0.03959866220735786
128,how,0.039331103678929766
129,because,0.03906354515050167
130,tho,0.03906354515050167
131,had,0.03826086956521739
132,weed,0.03785953177257525
133,time,0.03745819397993311
134,So,0.03745819397993311
135,has,0.036923076923076927
136,today,0.036923076923076927
137,don’t,0.03625418060200669
138,people,0.03625418060200669
139,coming,0.036120401337792644
140,comp,0.0359866220735786
141,might,0.0357190635451505
142,pick,0.035585284280936456
143,Just,0.035585284280936456
144,them,0.03545150501672241
145,see,0.03545150501672241
146,yet,0.03505016722408027
147,high,0.03505016722408027
148,Nah,0.03505016722408027
149,his,0.03505016722408027
150,as,0.034782608695652174
151,am,0.03451505016722408
152,Hahaha,0.0337123745819398
153,Are,0.03277591973244147
154,fine,0.032107023411371234
155,3,0.031973244147157194
156,mins,0.031973244147157194
157,guys,0.03157190635451505
158,Fuck,0.031438127090301006
159,Can,0.03103678929765886
160,yo,0.030903010033444814
161,before,0.03076923076923077
162,Do,0.03076923076923077
163,10,0.030501672240802677
164,thing,0.03036789297658863
165,party,0.03036789297658863
166,beta,0.030100334448160536
167,fucked,0.030100334448160536
168,she,0.02996655518394649
169,here,0.02996655518394649
170,Hey,0.029832775919732442
171,also,0.029832775919732442
172,sci,0.029698996655518395
173,off,0.0294314381270903
174,swem,0.02903010033444816
175,Word,0.028762541806020066
176,same,0.02862876254180602
177,been,0.028494983277591972
178,take,0.02822742474916388
179,place,0.02822742474916388
180,only,0.027959866220735787
181,thats,0.02782608695652174
182,Like,0.0274247491638796
183,even,0.0274247491638796
184,Where,0.027290969899665552
185,any,0.027157190635451505
186,dope,0.027023411371237458
187,where,0.02688963210702341
188,thanks,0.026755852842809364
189,said,0.026755852842809364
190,That,0.026622073578595317
191,does,0.02608695652173913
192,dude,0.02581939799331104
193,4,0.02581939799331104
194,why,0.02568561872909699
195,He,0.02568561872909699
196,start,0.02568561872909699
197,our,0.025551839464882944
198,Wan,0.025551839464882944
199,first,0.025418060200668897
200,something,0.025418060200668897
201,way,0.02528428093645485
202,yes,0.025150501672240803
203,much,0.025150501672240803
204,g,0.025016722408026756
205,bars,0.02488294314381271
206,pregame,0.02488294314381271
207,...,0.024749163879598662
